no,name,kana,roma
1,北海道,ほっかいどう,hokkaido
2,青森,あおもり,aomori
3,岩手,いわて,iwate
4,宮城,みやぎ,miyagi
5,秋田,あきた,akita
6,山形,やまがた,yamagata
7,福島,ふくしま,fukushima
8,茨城,いばらき,ibaraki
9,栃木,とちぎ,tochigi
10,群馬,ぐんま,gunma
11,埼玉,さいたま,saitama
12,千葉,ちば,chiba
13,東京,とうきょう,tokyo
14,神奈川,かながわ,kanagawa
15,新潟,にいがた,niigata
16,富山,とやま,toyama
17,石川,いしかわ,ishikawa
18,福井,ふくい,fukui
19,山梨,やまなし,yamanashi
20,長野,ながの,nagano
21,岐阜,ぎふ,gifu
22,静岡,しずおか,shizuoka
23,愛知,あいち,aichi
24,三重,みえ,mie
25,滋賀,しが,shiga
26,京都,きょうと,kyoto
27,大阪,おおさか,osaka
28,兵庫,ひょうご,hyogo
29,奈良,なら,nara
30,和歌山,わかやま,wakayama
31,鳥取,とっとり,tottori
32,島根,しまね,shimane
33,岡山,おかやま,okayama
34,広島,ひろしま,hiroshima
35,山口,やまぐち,yamaguchi
36,徳島,とくしま,tokushima
37,香川,かがわ,kagawa
38,愛媛,えひめ,ehime
39,高知,こうち,kochi
40,福岡,ふくおか,fukuoka
41,佐賀,さが,saga
42,長崎,ながさき,nagasaki
43,熊本,くまもと,kumamoto
44,大分,おおいた,oita
45,宮崎,みやざき,miyazaki
46,鹿児島,かごしま,kagoshima
47,沖縄,おきなわ,okinawa
